P_CO2 (mbar),Temp (K),CO2 Adsorption (mmol/g)
0,298.15,0
100,298.15,1.6
200,298.15,2.1
300,298.15,2.3
400,298.15,2.5
600,298.15,2.8
800,298.15,3.1
1000,298.15,3.35
0,323.15,0
100,323.15,1.2
200,323.15,1.6
300,323.15,1.8
400,323.15,2
600,323.15,2.2
800,323.15,2.35
1000,323.15,2.5
0,348.15,0
100,348.15,0.8
200,348.15,1.05
300,348.15,1.2
400,348.15,1.3
600,348.15,1.45
800,348.15,1.55
1000,348.15,1.65
