pCO2 (kPa),Temp (K),CO2 Adsorption (mmol/g)
0,323.15,0
0.443,323.15,0.404
1.771,323.15,0.744
3.598,323.15,0.908
10.517,323.15,1.097
14.502,323.15,1.153
21.753,323.15,1.204
